Zeit  1 - Schnelle Messrate [s]	Kraft [kN]	DMS hinten [stra]	DMS vorn [stra]
0	8,6875000965847E-04	-1,26344911660999	-1,4830228947103	
4,16666686457271E-04	1,74375001938643E-03	-1,15906158275902	-1,58381085842848	
8,33333372914543E-04	1,94166668825346E-03	-0,968284365721047	-1,55861386749893	
1,25000005937181E-03	1,37291668193029E-03	-0,809903279878199	-1,33904008939862	
1,66666674582909E-03	3,00000003335299E-04	-0,449946266599	-0,781106718815863	
2,08333343228636E-03	-1,33333334815688E-04	-0,183578076772392	-0,367156153544784	
2,50000011874363E-03	8,27083342528567E-04	-0,14398280531168	-0,262768619693816	
2,9166668052009E-03	2,08333335649513E-03	-0,190777217037976	-0,34195916261524	
3,33333349165817E-03	2,33333335927455E-03	-0,208775067701936	-0,482342397794127	
3,75000017811544E-03	1,77083335302086E-03	-7,91905429214239E-02	-0,493141108192503	
4,16666686457271E-03	2,0541666895042E-03	0,136783665046096	-0,244770769029856	
4,58333355102999E-03	3,42708337143449E-03	0,467944117262959	0,122385384514928	
5,00000023748726E-03	4,43541671597814E-03	0,748710587620735	0,30596346128732	
5,41666692394453E-03	3,66041670736195E-03	0,943087374791503	0,424749275669456	
5,8333336104018E-03	1,64166668491816E-03	0,860297261737287	0,403151854872704	
6,25000029685907E-03	8,33333342598053E-05	0,442747126333416	0,115186244249344	
6,66666698331634E-03	-3,87500004308095E-04	-0,241171198897064	-0,28796561062336	
7,08333366977361E-03	-8,14583342389597E-04	-0,511138958856463	-0,500340248458087	
7,50000035623088E-03	-1,18541667984573E-03	-0,457145406864583	-0,680318755097687	
7,91666704268816E-03	-1,30625001452245E-03	-0,403151854872704	-0,946686944924295	
8,33333372914543E-03	-9,08333343431877E-04	-0,349158302880824	-1,01867834758013	
8,7500004156027E-03	1,70833335232601E-04	0,140383235178888	-0,338359592482448	
9,16666710205997E-03	1,63333335149218E-03	1,07267189957201	0,809903279878199	
9,58333378851724E-03	2,64583336274882E-03	2,01575927436352	1,85737818852067	
1,00000004749745E-02	2,40833336010837E-03	2,56649350468069	2,35051929671317	
1,04166671614318E-02	1,52916668366743E-03	2,54849565401673	2,05535454582423	
1,08333338478891E-02	1,32291668137441E-03	1,90057303011417	1,18065900355577	
1,12500005343463E-02	1,77916668644684E-03	1,06907232943922	0,313162601552904	
1,16666672208036E-02	2,81875003133791E-03	0,237571628764272	-0,439147556200624	
1,20833339072609E-02	3,32500003696623E-03	-0,025196990929544	-0,608327352441847	
1,25000005937181E-02	2,81250003126843E-03	0,597528642043471	-0,032396131195128	
1,29166672801754E-02	1,69791668554353E-03	1,3930336413905	0,799104569479823	
1,33333339666327E-02	7,0625000785185E-04	1,73499280400574	1,20225642435253	
0,01375000065309	7,9166667546815E-05	1,23105298541486	0,784706288948655	
1,41666673395472E-02	-5,54166672827705E-04	0,169179796241224	-0,14398280531168	
1,45833340260045E-02	-1,18125001313274E-03	-0,759509298019111	-0,935888234525919	
1,50000007124618E-02	-9,81250010909207E-04	-1,11586674116552	-1,13386459182948	
0,015416667398919	4,6666667185491E-04	-0,914290813729167	-0,975483505986631	
1,58333340853763E-02	2,23125002480629E-03	-0,403151854872704	-0,615526492707431	
1,62500007718336E-02	3,11250003460373E-03	0,453545836731792	0,039595271460712	
1,66666674582909E-02	2,79791669777296E-03	0,885494252666831	0,406751425005496	
1,70833341447481E-02	2,30416669228362E-03	0,460744976997375	7,19914026558399E-03	
1,75000008312054E-02	2,47083336080323E-03	7,19914026558399E-02	-0,493141108192503	
1,79166675176627E-02	2,88958336545875E-03	-0,295164750888944	-0,917890383861959	
1,83333342041199E-02	2,69166669659171E-03	-0,637123913504183	-1,28864610753953	
1,87500008905772E-02	1,53541668373691E-03	-0,716314456425607	-1,48662246484309	
